cv_id,domain_finance,technical_analytical,engagement_communication,project_delivery,leadership,culture,education,summary,met,missing
CV_7571,85,70,80,75,70,60,70,"The candidate has strong domain knowledge in compliance within the banking and insurance sectors, demonstrated through relevant work experience. They possess solid technical skills, particularly in developing training modules and managing compliance audits, but lack specific evidence of advanced analytical skills and leadership roles. Their interests suggest a good cultural fit, though further details on educational background are limited.",Domain & Finance Knowledge; Engagement & Communication Skills; Project Delivery; Culture,Technical & Analytical Skills; Leadership; Educational background
CV_2198,85,90,75,80,70,60,85,"Ama has strong domain knowledge in finance, particularly within the insurance sector, supported by relevant educational qualifications. Their technical skills in data analysis and governance are well-demonstrated through their work experience. However, there is limited evidence of leadership and cultural fit within a team environment.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Educational background,Engagement & Communication Skills; Leadership; Culture
CV_0588_double,85,80,75,90,85,70,75,"Sipho Moyo has extensive experience in finance transformation and change management, particularly in the banking and insurance sectors. His strong technical skills in data governance and finance system implementations are complemented by effective stakeholder engagement and leadership in project delivery.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership,Engagement & Communication Skills; Culture; Educational background
CV_0588,85,80,75,90,85,70,70,"Sipho Moyo has significant experience in finance transformation and change management, particularly in the insurance and banking sectors. His strong technical skills in finance system implementations and stakeholder engagement are evident from his roles at Discovery Insure and Absa Bank.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership,Engagement & Communication Skills; Culture; Educational background
CV_0588_english_name,85,80,75,90,80,70,75,"Joe Smith has significant experience in financial transformation and change management within the banking and insurance sectors. His technical skills are strong, particularly in data governance and finance system implementations. However, there is limited information on his engagement skills and cultural fit.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership,Engagement & Communication Skills; Culture; Educational background
CV_0588_spanish_name,85,80,75,90,85,70,70,"Francisco Franco has a strong background in finance transformation with significant experience in large-scale implementations within the banking and insurance sectors. His technical skills in data governance and financial reporting align well with the requirements of the role. However, more information on his engagement and communication skills, as well as his cultural fit, would strengthen his profile.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership,Engagement & Communication Skills; Culture; Educational background
CV_0588_no_name,85,80,75,90,85,70,70,"The candidate has extensive experience in finance transformation and change management within the banking and insurance sectors, demonstrating strong project delivery and leadership skills. Their technical abilities in data governance and financial reporting align well with the role's requirements, though there is limited evidence of cultural fit and outside interests.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership,Engagement & Communication Skills; Culture; Educational background
CV_0588_chinese_name,85,80,75,90,80,70,70,"Xi Jing Ping has a strong background in finance transformation with significant experience in large-scale implementations at insurers and banks. Their technical skills in data governance and finance data warehousing are notable, along with effective stakeholder engagement. However, there is limited evidence of leadership roles and cultural fit beyond professional experience.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery,Engagement & Communication Skills; Leadership; Culture; Educational background
CV_9703,85,70,80,75,70,60,70,"Lebo Ndlovu has strong domain knowledge in risk and regulatory frameworks, particularly in Basel III/IV and prudential regulation. Their experience in stakeholder engagement and project delivery is notable, though technical skills in data analysis and programming are less emphasized. The cultural fit and educational background are somewhat less clear based on the provided evidence.",Domain & Finance Knowledge; Engagement & Communication Skills; Project Delivery,Technical & Analytical Skills; Leadership; Culture; Educational background
Benjamin Busby CV,85,90,80,85,70,75,80,"Benjamin Busby has strong domain knowledge in finance, particularly in banking and investment analysis, demonstrated through his roles at Starling Bank and Bloomberg. His technical skills are highlighted by the development of an AI-driven analytics tool using Python, showcasing his analytical capabilities. While he shows good engagement and communication skills, there is limited evidence of leadership experience and cultural fit.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery,Engagement & Communication Skills; Leadership; Culture; Educational background
